complex,complexToAllCFF,complexToPartCFF,complexToRevertPartCFF
85654,41293,108775,65405
104561,126964,68065,34415
186192,65415,192463,41132
28907,107357,353876,334057
46416,12263,29621,75477
153909,13560,250094,87730
230232,32953,14785,24486
30723,168564,28963,56676
155489,30508,35080,52676
14659,53586,72568,74804
57257,36366,190560,117352
19657,66842,87175,117431
181588,77282,66964,7985
134553,6144,230880,1245
23126,14063,220286,14724
13656,7948,57196,79402
63207,103660,478,99457
15933,122176,1017,265646
92189,56467,202619,248647
31927,14107,139139,161030
92915,36315,121193,50041
121671,191753,54548,32451
35358,75510,144757,122507
174260,107499,89563,200215
57432,118924,39072,70962
195069,63946,40635,5983
31258,55853,64560,168509
212809,193342,38955,81975
140890,10629,28301,61374
245576,83247,43208,112746
141050,40972,130532,62638
11863,117154,107286,109556
18946,197654,2036,98678
2504,84464,92718,31166
61081,46897,18637,62980
61275,44847,18822,141244
46386,52044,29814,7274
15483,37721,183427,153025
184014,153640,307734,43356
21715,29333,55445,138007
126174,300853,88656,140254
67403,77547,72969,51985
621,141111,137253,266263
148221,74707,56841,196740
17217,15427,7004,135986
928,20292,63497,5275
199630,27247,5490,226396
82519,380535,69031,134337
131524,50281,35344,44055
14737,53215,41683,22331
58635,19731,194183,20230
27318,31404,168646,61060
38282,146276,18865,43636
277461,128272,37095,297089
103805,164688,133976,117506
73456,59254,114284,33187
120321,73513,126748,16539
14284,89743,180007,31756
134979,48784,61283,74813
294895,141733,165849,118151
122103,45421,86970,67344
132582,138488,99131,120211
128753,61277,124955,20846
219821,175154,277771,195812
233894,48363,237827,16282
100264,42917,14680,157726
68193,49897,53234,278958
35426,28341,276989,12418
82004,45293,30061,37202
252227,165360,8257,160491
15412,54103,95101,40826
9195,45381,161798,330496
130823,32239,344627,150735
186905,256191,274263,189185
85198,24650,81465,112416
34121,5857,49866,156532
117003,27752,21443,61621
85512,300532,13299,58480
115853,26803,146817,67844
23926,109568,17200,169309
202942,114519,291329,11275
200811,177315,43175,105887
58232,33616,103804,36941
17246,296419,39945,18870
291681,166529,49931,71158
17317,27020,4180,130435
139480,52515,58478,68572
71564,71519,48936,116368
12780,140501,151209,12914
88809,8533,10732,34805
193822,104712,57798,8577
136214,98845,177881,49691
50542,218939,215190,64606
22620,11344,174159,7276
36079,38139,110971,70543
24933,26712,85837,30536
21026,41829,80324,4642
268187,90819,128086,27062
14462,95453,156388,52038
18386,60868,5437,